mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
215.035_0.6816,215.035,0.6816,7877409.25,Cluster_215.035_0.6816,215.035_0.6816;217.0319_0.6659,2
132.0314_0.6257,132.0314,0.6257,4561701.75,132.0314_0.6257,132.0314_0.6257,1
146.0471_0.638,146.0471,0.638,4086026,Cluster_146.0471_0.638,102.0564_0.6373;146.0471_0.638,2
223.047_0.6813,223.047,0.6813,2936534.375,223.047_0.6813,223.047_0.6813,1
277.0354_0.6491,277.0354,0.6491,6062110.25,277.0354_0.6491,277.0354_0.6491,1
191.0559_0.7112,191.0559,0.7112,4460848,191.0559_0.7112,191.0559_0.7112,1
217.0319_0.6659,217.0319,0.6659,3024794.875,Cluster_215.035_0.6816,215.035_0.6816;217.0319_0.6659,2
164.0727_2.5485,164.0727,2.5485,1157772.75,Cluster_164.0727_2.5485,164.0727_2.5485;344.1361_2.5485;351.1342_2.5484;384.0798_2.5484;418.0409_2.5481;547.1423_2.5477;548.1462_2.5482;564.1945_2.5483;583.1191_2.5482;615.1305_2.5478;683.268_2.5484;710.2247_2.5491;712.2216_2.5484,13
317.0565_0.6744,317.0565,0.6744,4144148.25,Cluster_317.0565_0.6744,317.0565_0.6744;319.0564_0.6744,2
195.0524_0.6466,195.0524,0.6466,2350941.75,195.0524_0.6466,195.0524_0.6466,1
111.0091_1.1441,111.0091,1.1441,2386619.25,Cluster_111.0091_1.1441,111.0091_1.1441;112.0124_1.1452;129.0198_1.1476;173.01_1.1449;190.0104_1.145;192.0244_1.1452,6
193.0369_0.6513,193.0369,0.6513,2620624.875,193.0369_0.6513,193.0369_0.6513,1
205.0354_0.7258,205.0354,0.7258,1676835.9375,205.0354_0.7258,205.0354_0.7258,1
128.0358_1.2989,128.0358,1.2989,453557.4375,Cluster_128.0358_1.2989,128.0358_1.2989;129.0308_1.2944;279.0614_1.3023;308.1002_1.2986;342.0459_1.3009;372.9752_1.2999;394.9569_1.3044,7
175.0251_0.8885,175.0251,0.8885,2888183.25,Cluster_175.0251_0.8885,175.0251_0.8885;176.0285_0.8886,2
346.0577_1.0184,346.0577,1.0184,2387428.625,Cluster_346.0577_1.0184,346.0577_1.0184;444.0309_1.0172;715.1014_1.0186;731.0801_1.018,4
253.0585_0.634,253.0585,0.634,3727853.125,253.0585_0.634,253.0585_0.634,1
209.0316_0.6497,209.0316,0.6497,823536.1875,209.0316_0.6497,209.0316_0.6497,1
435.9603_1.1314,435.9603,1.1314,929850.8125,Cluster_435.9603_1.1314,417.9492_1.1334;433.9645_1.1317;435.9603_1.1314;436.9649_1.131;437.9659_1.1342;702.8793_1.137;718.8532_1.1349,7
128.9599_0.5843,128.9599,0.5843,912248.15625,Cluster_128.9599_0.5843,128.9599_0.5843;212.9218_0.5844,2
321.0158_0.6736,321.0158,0.6736,338731.76564999996,321.0158_0.6736,321.0158_0.6736,1
267.0726_0.7131,267.0726,0.7131,1417793.4375,267.0726_0.7131,267.0726_0.7131,1
271.0627_5.8816,271.0627,5.8816,147396.35155000002,Cluster_271.0627_5.8816,119.0474_5.882;151.003_5.8849;271.0627_5.8816;329.0193_5.8877;339.0492_5.8822;370.9894_5.8864;415.9839_5.8818;433.9958_5.8827;461.9905_5.8821;541.1154_5.8808;626.0529_5.8814;660.058_5.8814;688.0525_5.8824;904.0862_5.8814,14
259.0243_0.6513,259.0243,0.6513,1611768.125,259.0243_0.6513,259.0243_0.6513,1
312.097_2.2992,312.097,2.2992,855583.65625,Cluster_312.097_2.2992,134.0477_2.2989;266.0925_2.2989;302.0682_2.2995;304.0654_2.2995;312.097_2.2992;586.0991_2.2986,6
272.9607_0.5308,272.9607,0.5308,847902.21875,Cluster_272.9607_0.5308,114.989_0.5302;158.9795_0.5328;160.9776_0.5299;244.9651_0.5296;272.9607_0.5308;274.9593_0.5298;358.9452_0.5298;386.9411_0.53;388.9397_0.5292;472.925_0.5302;474.9233_0.5298;500.9209_0.5296;502.9199_0.5295;504.9156_0.5299,14
439.0845_0.6862,439.0845,0.6862,1296310.0625,439.0845_0.6862,439.0845_0.6862,1
712.2216_2.5484,712.2216,2.5484,125088.9336,Cluster_164.0727_2.5485,164.0727_2.5485;344.1361_2.5485;351.1342_2.5484;384.0798_2.5484;418.0409_2.5481;547.1423_2.5477;548.1462_2.5482;564.1945_2.5483;583.1191_2.5482;615.1305_2.5478;683.268_2.5484;710.2247_2.5491;712.2216_2.5484,13
282.0863_2.3261,282.0863,2.3261,614805.625,Cluster_282.0863_2.3261,282.0863_2.3261;565.1777_2.3263;587.1589_2.326;601.1537_2.3265,4
194.9469_0.6475,194.9469,0.6475,716348.5625,194.9469_0.6475,194.9469_0.6475,1
1268.5955_4.2381,1268.5955,4.2381,1050627.5,Cluster_1268.5955_4.2381,1268.5955_4.2381;1310.5666_4.2245;1314.6004_4.2366;1331.585_4.2374;1331.5866_4.2375;1332.589_4.2375;1366.5749_4.2285;669.7714_4.2376;670.7714_4.2369,9
203.084_2.9821,203.084,2.9821,335523.93755,Cluster_203.084_2.9821,116.0506_2.982;203.084_2.9821;429.1551_2.9821;506.091_2.9798,4
341.0905_2.849,341.0905,2.849,2148938.25,Cluster_341.0905_2.849,135.0453_2.8472;179.0374_2.8453;341.0905_2.849;705.1662_2.8482;736.0961_2.8462,5
243.064_1.585,243.064,1.585,468245.73439999996,Cluster_243.064_1.585,243.064_1.585;279.0406_1.5825;281.0378_1.5813;289.0693_1.5851;311.0511_1.5843;341.0399_1.5782;387.986_1.5865;487.1329_1.5836;540.045_1.5843,9
158.9795_0.5328,158.9795,0.5328,532586.90625,Cluster_272.9607_0.5308,114.989_0.5302;158.9795_0.5328;160.9776_0.5299;244.9651_0.5296;272.9607_0.5308;274.9593_0.5298;358.9452_0.5298;386.9411_0.53;388.9397_0.5292;472.925_0.5302;474.9233_0.5298;500.9209_0.5296;502.9199_0.5295;504.9156_0.5299,14
325.095_3.3409,325.095,3.3409,625197.59375,Cluster_325.095_3.3409,325.095_3.3409;393.0836_3.3424,2
104.0356_0.6114,104.0356,0.6114,495697.1875,104.0356_0.6114,104.0356_0.6114,1
296.8839_0.5836,296.8839,0.5836,380289.42189999996,Cluster_296.8839_0.5836,1052.5345_0.5834;1054.5334_0.5835;1096.5173_0.583;1136.4956_0.5832;1138.4952_0.5833;1222.4566_0.5831;1306.4187_0.5826;1390.3812_0.5831;296.8839_0.5836;298.8821_0.5837;380.8452_0.5838;382.8433_0.5834;464.8062_0.5835;466.8046_0.5845;548.7675_0.5832;550.7656_0.5838;632.7285_0.5837;634.7267_0.5837;716.6895_0.5838;718.6877_0.5835;800.6505_0.5837;802.6489_0.583;804.6471_0.583;884.6117_0.5832;886.6103_0.584;888.6085_0.5827;927.5936_0.5834;968.573_0.5837;970.572_0.5835;972.5704_0.5856,30
1081.5465_5.1244,1081.5465,5.1244,1103508.5,Cluster_1081.5465_5.1244,1063.5328_5.1294;1081.5465_5.1244;1082.5477_5.1242;1084.5531_5.1258;1105.5034_5.1247;1117.5211_5.1254;1121.524_5.1246;1149.5307_5.1252;1179.5135_5.1187;1181.4715_5.1189;1199.4785_5.1254;540.2706_5.126;558.2593_5.1263;563.2743_5.1256;581.2621_5.1271;586.2761_5.1264,16
302.0682_2.2995,302.0682,2.2995,474434.75005,Cluster_312.097_2.2992,134.0477_2.2989;266.0925_2.2989;302.0682_2.2995;304.0654_2.2995;312.097_2.2992;586.0991_2.2986,6
